GL_NO_ERROR 0x0
GL_INVALID_ENUM 0x0500
GL_INVALID_VALUE 0x0501
GL_INVALID_OPERATION 0x0502
GL_STACK_OVERFLOW 0x0503
GL_STACK_UNDERFLOW 0x0504
GL_OUT_OF_MEMORY 0x0505
GL_INVALID_FRAMEBUFFER_OPERATION 0x0506
GL_FRAMEBUFFER_UNDEFINED 0x8219
GL_FRAMEBUFFER_INCOMPLETE_ATTACHMENT 0x8CD6
GL_FRAMEBUFFER_INCOMPLETE_MISSING_ATTACHMENT 0x8CD7
GL_FRAMEBUFFER_INCOMPLETE_DRAW_BUFFER 0x8CDB
GL_FRAMEBUFFER_INCOMPLETE_READ_BUFFER 0x8CDC
GL_FRAMEBUFFER_UNSUPPORTED 0x8CDD
GL_FRAMEBUFFER_INCOMPLETE_MULTISAMPLE 0x8D56
GL_FRAMEBUFFER_INCOMPLETE_LAYER_TARGETS 0x8DA8
